"ID องค์ประกอบวิดีโอ","ID วิดีโอสากล","ID เพจ",ชื่อเพจ,ชื่อ,"ระยะเวลา (วินาที)",เวลาที่เผยแพร่,ป้ายกำกับแบบกำหนดเอง,ความคิดเห็นเกี่ยวกับข้อมูล,วันที่,อิมเพรสชั่น,การเข้าถึง,"การรับชมวิดีโอนาน 3 วินาที","การรับชมวิดีโอนาน 1 นาที",จำนวนวินาทีที่รับชม,จำนวนวินาทีที่รับชมโดยเฉลี่ย,"ผู้ที่รับชมนาน 3 วินาที","ผู้ที่รับชมนาน 1 นาที","ความรู้สึก ความคิดเห็น และการแชร์",ความรู้สึก,ความคิดเห็น,การแชร์,"รายได้โดยประมาณ (ดอลลาร์สหรัฐ)","CPM โฆษณา (ดอลลาร์สหรัฐ)",อิมเพรสชั่นโฆษณา,"การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (M, 18-24)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (F, 18-24)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (M, 25-34)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (F, 25-34)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (M, 35-44)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (M, 55-64)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (M, 45-54)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (F, 35-44)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (F, 45-54)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (M, 65+)","การรับชมโดยกลุ่มเป้าหมายอันดับสูงสุด (F, 55-64)","การรับชมตามประเทศ (Thailand (TH))","การรับชมตามประเทศ (Laos (LA))","การรับชมตามประเทศ (Malaysia (MY))","การรับชมตามประเทศ (Japan (JP))","การรับชมตามประเทศ (United Kingdom (GB))","การรับชมตามประเทศ (Taiwan (TW))","การรับชมตามประเทศ (Singapore (SG))","การรับชมตามประเทศ (Australia (AU))","การรับชมตามประเทศ (United States (US))","การรับชมตามประเทศ (Germany (DE))","การรับชมตามประเทศ (Tunisia (TN))","การรับชมตามประเทศ (France (FR))","การรับชมตามประเทศ (Canada (CA))","การรับชมตามประเทศ (Vietnam (VN))"
564552208880179,,286920362008145,"CPE GAMES","Live day 1",13918,"01/23/2023 04:07",,,อายุการใช้งาน,1090,623,957,387,385223.476,211.661,387,187,67,21,44,2,0,0,0,521,164,112,51,44,23,16,5,4,2,1,955,1,1,,,,,,,,,,,
934847157881412,,286920362008145,"CPE GAMES",,200,"01/01/2023 22:00",,,อายุการใช้งาน,2407,1803,1104,157,37495.106,13.694,740,142,106,65,12,29,0,0,0,479,184,277,92,25,10,9,8,8,1,5,1086,,,4,4,3,2,2,2,1,,,,
708934674216300,,286920362008145,"CPE GAMES","Overwatch 2 [CP9 VS OLD]",3551,"02/11/2023 05:14",,,อายุการใช้งาน,665,436,241,57,50933.145,71.334,154,41,3,0,3,0,0,0,0,134,27,36,20,15,4,,1,,1,,240,,,1,,,,,,,,,,
3392737274329743,,286920362008145,"CPE GAMES","CPE GAMES 2023 VALORANT GRAND FINAL",8279,"02/10/2023 03:54",,,อายุการใช้งาน,715,474,396,169,176684.163,198.968,194,89,35,9,24,2,0,0,0,219,37,62,41,12,14,2,,,7,,395,,,1,,,,,,,,,,
1222883825278998,,286920362008145,"CPE GAMES","Overwatch 2 [YYF VS [OLD]",2940,"02/09/2023 05:14",,,อายุการใช้งาน,560,366,127,27,23696.494,43.32,87,16,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
899250517936425,,286920362008145,"CPE GAMES","Overwatch 2 [YYF VS SUB]",3224,"02/08/2023 05:03",,,อายุการใช้งาน,593,391,176,52,38420.247,61.276,107,28,8,0,7,1,0,0,0,117,12,19,14,7,3,,,1,1,,175,,,1,,,,,,,,,,
1922733608092529,,286920362008145,"CPE GAMES","Live ROV Knockout Stage Day 2 CPE Game 2023",6950,"02/07/2023 05:56",,,อายุการใช้งาน,667,429,235,93,143923.83,198.242,134,45,4,2,1,1,0,0,0,126,52,36,6,4,10,,,1,,,235,,,,,,,,,,,,,
572534441198521,,286920362008145,"CPE GAMES","Valorant Semi Final Live Day 8",16903,"02/06/2023 04:18",,,อายุการใช้งาน,902,609,470,225,221063.981,196.676,182,86,27,3,23,1,0,0,0,255,35,101,33,5,33,2,1,2,,,470,,,,,,,,,,,,,
1561296437711288,,286920362008145,"CPE GAMES","[LIVE🔴] การแข่งขัน CPE Games 2023 Valorant",4844,"02/03/2023 06:19",,,อายุการใช้งาน,660,413,311,123,87691.13,111.566,156,68,33,8,23,2,0,0,0,166,55,35,28,7,10,3,,2,1,,311,,,,,,,,,,,,,
754066909061167,,286920362008145,"CPE GAMES","Live ROV Day 3",4256,"02/02/2023 07:07",,,อายุการใช้งาน,719,513,252,95,111530.531,153.623,148,52,12,7,4,1,0,0,0,136,41,29,12,10,16,1,,2,1,2,250,1,,1,,,,,,,,,,
